disease_id,crops
f6b44488-9c98-46d2-84c7-748fe00ba757,подсолнечник
caeeff7a-6bae-4913-80c4-27ae9353ebbd,подсолнечник
ecea1d03-6725-456b-b921-8dbbf093f42d,подсолнечник
2fb53f95-032d-453b-9ebb-44d07383cdf2,подсолнечник
2f425d53-eeea-4ecc-b7fd-0507155209c5,горох
949006e7-89bc-4b8e-b47b-b0ab09d67bba,горох
e53fa1ca-2519-47c5-814d-a7f99ef2512f,горох
a7495830-1cf8-4700-919f-2077ba6d5f5e,горох
35c09c9c-81f5-42d1-b06d-7668202d4978,горох
2a9bb5ee-ff76-442f-9f16-8076694da320,горох
84381020-7db0-4ce6-9f19-04d99c23d5c8,горох
c8cfed9b-adb8-4621-a99e-95f8ffbe38fc,горох
ca0734e1-b0ae-4642-9498-520e3d78e65a,горох
8417909d-7eeb-4561-92ee-07927ccf3469,горох
d2101a57-ea32-4627-8795-1ca11c74f80f,горох
7706a172-22a1-49dd-b89e-432b1df89f2c,горох
b6dd34e9-3ebc-4299-b958-601a621f46ed,горох
e88fca5a-2833-4faa-9ddb-bcbe72c014a0,нут
e0d6699c-f4d4-493b-a7a8-3c8dcd689d44,нут
ed12153e-3b62-4489-a3f2-f32dd19c4d0c,нут
c9bbf932-e136-49ca-9ea8-261852dc7fef,нут
2db449e6-c919-4fac-83d2-78373c7aa809,нут
06ce2ab8-4247-40ad-b0e9-90b4abdac783,нут
47b4df19-e33d-47b5-81ab-067a1a6ba8d1,нут
0da29dea-9cce-49ad-8a64-b17f10092d03,нут
ff0a15a6-8733-457d-bbad-2ec9292ea03a,нут
83ec7339-a28b-4cb6-8a21-768f54d72c24,нут
55cc7b8c-7c82-4c60-bdda-283ef784c80f,нут
1750c58d-5d72-42f5-b17f-ac782e4cdf8f,нут
0eb9ffb6-9c61-4bcc-bf17-bd581a723673,нут
a8c8299c-6813-4527-a8e3-e07b12133e07,лен
f00237fc-2a87-4eb8-ad17-f97dc01c94c4,лен
e883610f-5971-4527-9188-640b9b53d171,лен
dd33f491-90ef-43ea-908d-0f2e9fb5cc2c,лен
bf21e81e-413f-4325-802e-e070cab8b92e,лен
27e5cfe6-81ae-4e41-bb38-06790c7a9cd1,лен
f388cb23-bbfd-4f1a-a6cd-051054db2a2e,лен
2b1a3042-a371-4d49-93b9-f8a47f7d5ef5,лен
274c8482-fa8f-44df-aafe-a77296871eb4,картофель
819df1bc-5c48-48f3-bfba-9a9774bb6d7d,картофель
385c1408-6299-4ee1-8e03-b02951caa99f,картофель
061aea5d-0acf-4682-b75f-107eca7fa082,картофель
a10f859e-3c0c-494b-ba08-16ffcc45a0ef,картофель
3e5ae24a-b5ca-4f00-a7be-1a5d5b8f809d,картофель
2eb57142-6350-4c43-971b-29a383edec65,картофель
5380ee58-a94a-422a-9b9e-23e4d1d45a71,картофель
dda491e8-7b4c-4a3a-ac31-177c03e829de,картофель
a10f34bd-c3a3-416e-91bb-b4bae4f6192e,картофель
f2d6daf0-bb9a-4ca3-997c-1c4d57e70049,картофель
feafcfdf-7c75-4d7c-b17d-b898b33260d5,картофель
c582814a-abd4-40b6-ba1d-464dae3808f7,картофель
caf99cd0-c403-49c2-abc6-13d26c145489,картофель
fdbd224b-02be-442b-ba22-b9f7c6b718f3,картофель
f50a2613-79ac-425c-aaad-4f7f6942d71c,картофель
49879783-b126-4b02-b59f-d73f5d9dba63,садовые культуры
f7a6534a-c67e-4078-9741-db895d90d0ba,виноградники
